# r/g(r)/dn[At1,At2]:      g(r)[ H, N]            dn(r)
          8.577      0.8288824172     43.1484736842
          8.596      0.8371603627     43.2392105263
          8.614      0.8343901423     43.3285263158
          8.633      0.8530157409     43.4186842105
          8.651      0.8822692114     43.5107368421
          8.670      0.8658418890     43.5998947368
          8.689      0.9402017104     43.6954210526
          8.707      0.8712015062     43.7827368421
          8.726      0.9201440233     43.8736842105
          8.745      0.9154554394     43.9628947368
          8.763      0.9238466042     44.0516315789
          8.782      0.9675861367     44.1432105263
          8.800      1.0313462274     44.2393684211
          8.819      0.9303402926     44.3247894737
          8.838      0.9694632517     44.4124210526
          8.856      0.9974928006     44.5011578947
          8.875      1.0181004957     44.5902631579
          8.894      1.0052378008     44.6767894737
          8.912      0.9478569752     44.7570000000
          8.931      1.0049924084     44.8405789474
          8.949      0.9611818438     44.9191052632
          8.968      1.0359055019     45.0022105263
          8.987      1.0607187967     45.0857368421
          9.005      1.0361666890     45.1657894737
          9.024      1.0635370230     45.2463684211
          9.043      1.1261260315     45.3300000000
          9.061      1.0489016632     45.4063157895
          9.080      1.0859647826     45.4836842105
          9.098      1.0651130286     45.5579473684
          9.117      1.1013187382     45.6330526316
          9.136      1.0350814400     45.7020526316
          9.154      1.0765506737     45.7721578947
          9.173      1.1002809351     45.8421052632
          9.192      1.0947678540     45.9100000000
          9.210      1.1030234185     45.9766842105
          9.229      1.1172082226     46.0424736842
          9.247      1.0468991979     46.1024736842
          9.266      1.1115622403     46.1644210526
          9.285      1.1150207066     46.2247894737
          9.303      1.0847777844     46.2817894737
